,host,class
1508237,tjeyrsensinaix.com,dga
1368338,lbzgmachuslazaroqok.com,dga
846850,aidrafoxxx.com,legit
914840,seagateproducts.com,legit
1848678,yryltobqosappjdjh.info,dga
890979,lindoncity.org,legit
616119,hmciran.net,legit
1681816,ikqxdxuxpryyyx.in,dga
340878,mrpotatoparty.tumblr.com,legit
1208741,bppbmachuslazaroqok.com,dga
478617,rrock.ru,legit
1932802,caramudahbelajarbahasainggris.net,legit
1921559,convertsrvr.com,legit
1445404,ppqgllaabettingk.com,dga
396709,lifeinua.com,legit
1320653,ieboepictom.com,dga
622568,asgards-pride.com,legit
1716791,tuwirel.info,dga
1010879,9c0q21wsdcmvwqsvda1tixpq2.net,dga
938030,ajm.me,legit
585849,norfolkgazelles.co.uk,legit
1947024,easypaisa.com.pk,legit
944241,agata-victor.com,legit
1072407,1b4oq70x0c2kqec5qs0ztxime.net,dga
774684,bard.ru.com,legit
1329068,isntmen.com,dga
1151353,utscoswopijy.com,dga
890903,lilykong.co.uk,legit
97695,globalincidentmap.com,legit
876403,gfwebtv.com,legit
316212,thisiskc.com,legit
1927082,cloudgate.jp,legit
1964342,dcamp.kr,legit
786082,deutschlandgourmet.info,legit
1015715,hdlqmestbacsmjift.pl,dga
115012,ksc.de,legit
1769846,bgpohrhylspevohltqbfi.xxx,dga
519311,rodnik-gold.de,legit
868888,econtechnologies.com,legit
378056,hbi.cz,legit
2027491,torrentgames.gdn,legit
215172,youngporn.pub,legit
1331529,iwrjiologistbikerepil.com,dga
781866,album-der-woche.de,legit
1246970,dvsnbyplaywobb.com,dga
1031549,obthwvtl.pl,dga
802407,tsv-darmstadt.de,legit
860964,cliffswelding.com,legit
1012585,v0631f27cd365547e211d656905eedf915.ws,dga
508058,hamrahankhodro.com,legit
1379837,lrxienhancedysb.com,dga
753501,blueliners.co.uk,legit
1102672,dcpojmiqyxhi.biz,dga
1581770,xrfosagabardinedazyx.com,dga
1989397,080310.com,legit
607868,mclab.com,legit
1525250,ugooancorml.com,dga
1595230,ykserasildeafeninguvuc.com,dga
1749769,oohmcugtpjqkqw.biz,dga
888397,kleinconnection.com,legit
22164,officeholidays.com,legit
1612737,znlpepictom.com,dga
1729890,segqmiiugkeq.biz,dga
1163606,gokzyilac.kz,dga
624611,guten-tach.de,legit
74470,webtrh.cz,legit
1783101,iyeolxjkjqoxyju.mu,dga
499043,esnumber.com,legit
577393,aipiaxi.com,legit
581749,volcanocafe.wordpress.com,legit
471038,lasoga.org,legit
969994,najazdysamochodowe.pl,legit
859620,cherrystreetcottage.blogspot.com,legit
799819,sexyladyboyvideos.com,legit
1620933,zzhzrsensinaix.com,dga
765536,toplesstopics.tumblr.com,legit
817861,entrappaupp.eu,legit
1553890,vzhnmachuslazaroqok.com,dga
1316103,hxmrepictom.com,dga
587033,theorchardteagarden.co.uk,legit
6740,pku.edu.cn,legit
42558,supplyhouse.com,legit
761475,orbitsound.com,legit
540834,complimentos.com,legit
378009,totallyguitars.com,legit
283373,servis.com,legit
1256835,ekpumachuslazaroqok.com,dga
1166565,peuwnflgamjtcvsozfuprg.net,dga
917156,sixfeetunder.net,legit
1134739,otwmnwkklmll.com,dga
1729646,rqlqlcn.cc,dga
1697189,qkfoiaxditkbtw.in,dga
383429,kianasiberians.com,legit
1122091,jifovbppikek.com,dga
1995204,jaysbakingmecrazy.com,legit
591256,bbjsynagogue.com,legit
2008330,meriden.k12.ct.us,legit
1184915,acwwsemitismgavenuteq.com,dga
28878,juntu.com,legit
1156596,wrsmpxesyhhh.cc,dga
1968375,brinkwire.com,legit
814977,cheatsvzlom.com,legit
67641,your.gg,legit
1929295,szmynet.com,legit
226312,fanslounge.tv,legit
557759,dertypaws.com,legit
